alg,test_pop_id,search_time_limit,rl_policy_seed,rl_policy_pop_id,planning_pop_id,num_episodes_limit,exp_time_limit,exp_num,env_id,agent_id,num,len,return,discounted_return,time,search_time,update_time,reinvigoration_time,evaluation_time,policy_calls,inference_time,search_depth,num_sims,mem_usage,min_value,max_value,belief_state_acc,belief_history_acc,belief_action_acc,belief_policy_acc
COMBINED,P0,1.0,2,P0,P0,100,43200,7,PursuitEvasion-v1,0,0,36,0.9838709677419352,0.7137693897988355,42.7555570602417,1.032597733868493,0.1472705602645874,0.1376644770304362,0.0001218650076124,313.25,0.8734379808108012,15.194444444444445,39.75,332.49609375,-0.7675759414226269,0.7573992315255184,0.0796988577362409,0.0277777777777777,0.3036574350720442,0.087227414330218
COMBINED,P0,1.0,2,P0,P0,100,43200,7,PursuitEvasion-v1,0,1,100,0.1774193548387095,0.1161319365718417,111.80215120315552,1.0123750343117663,0.1818762876654184,0.1783309880123343,0.0001025610072638,312.3010752688172,0.897865895302065,21.86021505376344,32.54838709677419,341.77734375,-0.7773683955332773,0.8029038199237598,0.0149532710280373,0.01,0.2183631903738529,0.0402803738317757
COMBINED,P0,1.0,2,P0,P0,100,43200,7,PursuitEvasion-v1,0,2,29,0.9838709677419352,0.7582999091128677,35.69696545600891,1.016685041888007,0.2065268960492364,0.1947621312634698,0.0001082420349121,322.0,0.905608160742398,13.655172413793103,42.27586206896552,341.77734375,-0.8056173526140152,0.7735155451813253,0.1420017979205183,0.0344827586206896,0.3682772312061384,0.2776034511027811
COMBINED,P0,1.0,2,P0,P0,100,43200,7,PursuitEvasion-v1,0,3,38,0.943548387096774,0.6742541561341973,46.87475919723511,1.0207909784818952,0.2050113176044664,0.1834249433718229,0.0001069432810733,319.39473684210526,0.9157328229201468,13.578947368421051,39.42105263157895,341.77734375,-0.7878897665053957,0.8206018836019603,0.2262577383088942,0.0263157894736842,0.3650192976903573,0.6743728480078701
COMBINED,P0,1.0,2,P0,P0,100,43200,7,PursuitEvasion-v1,0,4,37,0.943548387096774,0.6693915033182409,44.07905173301697,1.026227332450248,0.1574655867911674,0.1483712840724635,0.000104775299897,314.8378378378378,0.8908428372563543,16.0,38.78378378378378,343.578125,-0.7584404036706699,0.8015490648241381,0.0648451809620033,0.027027027027027,0.2574242988731276,0.0792653086998881
COMBINED,P0,1.0,2,P0,P0,100,43200,7,PursuitEvasion-v1,0,5,23,0.9919354838709676,0.8129163757220887,26.795167446136475,1.023428782172825,0.1337311889814293,0.1196282428243885,8.642155191172724e-05,299.39130434782606,0.8428118436232858,13.043478260869565,38.78260869565217,343.578125,-0.5951267956211891,0.8138485411908818,0.1165451660276186,0.0434782608695652,0.3393135726637347,0.0943190007598129
COMBINED,P0,1.0,2,P0,P0,100,43200,7,PursuitEvasion-v1,0,6,31,0.975806451612903,0.7383592694879708,35.59051251411438,1.0248499301172072,0.115408182144165,0.1051044079565232,0.0001096956191524,293.64516129032256,0.8564681468471405,15.32258064516129,34.61290322580645,344.6015625,-0.6141967599875409,0.8793895571115237,0.1534519143804642,0.032258064516129,0.3480883040216686,0.1540548688574012
COMBINED,P0,1.0,2,P0,P0,100,43200,7,PursuitEvasion-v1,0,7,23,0.9919354838709676,0.8129163757220887,27.19376921653748,1.0356353054875913,0.1387419700622558,0.1244224569071894,8.502213851265286e-05,299.2173913043478,0.8416774894880212,12.695652173913045,39.17391304347826,345.6328125,-0.6902349225807868,0.8118113001207149,0.1790005700057856,0.0434782608695652,0.4289804569433067,0.0742242026300048
COMBINED,P0,1.0,2,P0,P0,100,43200,7,PursuitEvasion-v1,0,8,100,0.1209677419354837,0.0785634865453149,131.65557169914246,1.032911603450775,0.2759145355224609,0.2724778866767883,0.0001155042648315,339.59,0.9918465161323547,15.7,37.73,347.6953125,-0.7972604595376602,0.7979055243692624,0.0264789309722905,0.01,0.443303950535704,0.7812452861124775
COMBINED,P0,1.0,2,P0,P0,100,43200,7,PursuitEvasion-v1,0,9,44,0.9516129032258064,0.6343907028152128,51.9774386882782,1.0275591882792383,0.1458053480495106,0.1383225972002202,0.0001104907556013,302.65909090909093,0.8864709626544606,15.954545454545457,35.06818181818182,347.6953125,-0.7855666472716938,0.7599241539261296,0.265065664364458,0.0227272727272727,0.4141511408418257,0.7222783899941957
COMBINED,P0,1.0,2,P0,P0,100,43200,7,PursuitEvasion-v1,0,10,100,0.129032258064516,0.1021517047456045,43.643823862075806,1.006750860729733,0.151898532300382,0.1424560546875,0.0001134163624531,294.0810810810811,0.864527786100233,16.37837837837838,31.75675675675676,347.6953125,-0.7833221556324876,0.8070764991087608,0.0460747663551401,0.01,0.3035125234631695,0.4623797343826857
COMBINED,P0,1.0,2,P0,P0,100,43200,7,PursuitEvasion-v1,0,11,19,0.943548387096774,0.7981474912711382,21.62214708328247,1.028223062816419,0.102151356245342,0.0843095653935482,9.299579419587789e-05,347.4736842105263,0.8491234904841373,12.894736842105264,65.42105263157895,349.23828125,-0.7092120070985704,0.8443336796841516,0.1587116932369703,0.0526315789473684,0.2495955513844555,0.0268570325719629
COMBINED,P0,1.0,2,P0,P0,100,43200,7,PursuitEvasion-v1,0,12,38,0.9838709677419352,0.6941048942016439,48.34874677658081,1.045675139678152,0.2183798049625597,0.2124903578507272,0.0001234004372044,308.2894736842105,0.9286958355652658,15.421052631578949,35.36842105263158,349.23828125,-0.8049660441426143,0.7817095965976829,0.087555336940482,0.0263157894736842,0.2356596654376167,0.0943884243318576
