alg,test_pop_id,search_time_limit,rl_policy_seed,rl_policy_pop_id,planning_pop_id,num_episodes_limit,exp_time_limit,exp_num,env_id,agent_id,num,len,return,discounted_return,time,search_time,update_time,reinvigoration_time,evaluation_time,policy_calls,inference_time,search_depth,num_sims,mem_usage,min_value,max_value,belief_state_acc,belief_history_acc,belief_action_acc,belief_policy_acc
COMBINED,P0,1.0,2,P0,P0,100,43200,7,PredatorPrey-v0,0,0,50,0.6666666666666666,0.5488557240560417,58.5216851234436,1.0149543142318729,0.1524090099334716,0.1507329988479614,0.0003798532485961,2150.7,0.5008655166625977,9.62,440.98,342.12109375,0.0849406236067414,1.0557343122665086,0.0,0.0022429906542056,0.2401714892210081,0.1882690784281563
COMBINED,P0,1.0,2,P0,P0,100,43200,7,PredatorPrey-v0,0,1,50,0.6666666666666666,0.5293166944674619,56.99911594390869,1.021371464729309,0.1150984334945678,0.1137908697128295,0.0002860498428344,1307.58,0.7225276279449463,10.66,234.5,344.0546875,0.1203416542172134,1.0958129862157395,0.0,0.002803738317757,0.6238316758294341,0.8710381988059777
COMBINED,P0,1.0,2,P0,P0,100,43200,7,PredatorPrey-v0,0,2,44,1.0,0.7595567989793608,50.022987365722656,1.041370521892201,0.0938166596672751,0.0918515107848427,0.0004618655551563,2474.8636363636365,0.4492397741837935,10.522727272727272,446.1590909090909,344.0546875,0.1144230320490896,1.1194132754509647,0.0,0.0033984706881903,0.2357786085455168,0.0583661221418037
COMBINED,P0,1.0,2,P0,P0,100,43200,7,PredatorPrey-v0,0,3,35,1.0,0.7878805293020711,43.02080821990967,1.0129106317247665,0.2139777183532714,0.2119207314082554,0.0003346851893833,1561.5142857142855,0.7410224097115653,12.314285714285717,223.94285714285715,341.3203125,0.0555134974473289,1.080870569742861,0.0,0.0040053404539385,0.4123317014504318,0.045485809758024
COMBINED,P0,1.0,2,P0,P0,100,43200,7,PredatorPrey-v0,0,4,50,0.6666666666666666,0.5430930434980074,54.46901059150696,1.0361314630508422,0.0500513744354248,0.0485097551345825,0.0003949403762817,2305.24,0.3863268041610718,11.2,430.5,356.26171875,0.1406470979690551,0.992560648918152,0.0,0.0020560747663551,0.1995286357082727,0.0286911931799868
COMBINED,P0,1.0,2,P0,P0,100,43200,7,PredatorPrey-v0,0,5,38,1.0,0.7697439977827732,43.15826392173767,1.0260329999421771,0.1056502053612157,0.1038844899127357,0.000290318539268,1312.657894736842,0.6742623166034096,13.68421052631579,180.8947368421053,351.609375,0.0823832479295762,1.0655749729034056,0.0,0.0024594195769798,0.6563816592623674,0.8841962531226853
COMBINED,P0,1.0,2,P0,P0,100,43200,7,PredatorPrey-v0,0,6,50,0.6666666666666666,0.4956742189526766,37.6247661113739,1.0494709627968923,0.0217772551945277,0.0202501228877476,0.0004005023411342,2291.4,0.3716281141553606,12.885714285714286,355.65714285714284,374.6015625,0.2210241169376033,1.105660915082239,0.0,0.0029906542056074,0.641418418364604,0.0464075110632203
COMBINED,P0,1.0,2,P0,P0,100,43200,7,PredatorPrey-v0,0,7,29,1.0,0.7942824440991252,31.687397241592407,1.0325738479351174,0.0572232049086998,0.0550881172048634,0.0003798994524725,2179.137931034483,0.4339848797896812,13.0,423.5517241379311,365.6015625,0.1275052166498941,1.083095836457136,0.0,0.0048340315823396,0.4181599166360906,0.072873055208045
COMBINED,P0,1.0,2,P0,P0,100,43200,7,PredatorPrey-v0,0,8,50,0.0,0.0,53.69861435890198,1.0270004415512084,0.0441611433029174,0.042825288772583,0.0003388738632202,2046.3,0.4252259492874145,11.42,392.84,353.6015625,0.0393603031642735,1.0094816723928848,0.0,0.002803738317757,0.2379129966180667,0.0270390226815891
COMBINED,P0,1.0,2,P0,P0,100,43200,7,PredatorPrey-v0,0,9,50,0.6666666666666666,0.5969223155749779,61.8058762550354,1.0640571403503418,0.1693296909332275,0.1678456783294677,0.000347146987915,1997.36,0.6134037971496582,12.54,376.44,362.5078125,0.0107496929839253,1.02874057862205,0.0,0.0020560747663551,0.4761166526100473,0.5227858543359878
