alg,test_pop_id,search_time_limit,rl_policy_seed,rl_policy_pop_id,planning_pop_id,num_episodes_limit,exp_time_limit,exp_num,env_id,agent_id,num,len,return,discounted_return,time,search_time,update_time,reinvigoration_time,evaluation_time,policy_calls,inference_time,search_depth,num_sims,mem_usage,min_value,max_value,belief_state_acc,belief_history_acc,belief_action_acc,belief_policy_acc
COMBINED,P0,1.0,2,P0,P0,100,43200,7,Driving-v1,0,0,20,1.0,0.8674662518800091,22.57537174224853,1.119403076171875,0.0013886451721191,0.00090012550354,0.000222623348236,2399.4,0.1700412631034851,17.35,323.25,326.921875,-1.0,0.7240161315623438,0.2618512677271996,0.0065420560747663,0.5006594687407878,0.2267591465108537
COMBINED,P0,1.0,2,P0,P0,100,43200,7,Driving-v1,0,1,21,1.0,0.8613576007391943,23.091571807861328,1.0917965230487643,0.0013003349304199,0.0008886314573742,0.0001774288359142,2280.619047619048,0.1865466549282982,17.428571428571427,292.9047619047619,327.15234375,-1.0,0.7848913329583606,0.0308376191609429,0.0057854917668001,0.4789003726264764,0.1826531938253583
COMBINED,P0,1.0,2,P0,P0,100,43200,7,Driving-v1,0,2,22,1.0,0.8540704122597063,23.693603515625,1.065715573050759,0.0016589164733886,0.0013635266910899,0.0002102526751431,2290.0,0.2010594606399536,16.5,337.8636363636364,329.55078125,-1.0,0.7841333392391568,0.4847177496057911,0.0033984706881903,0.6355349644562245,0.7039108272416776
COMBINED,P0,1.0,2,P0,P0,100,43200,7,Driving-v1,0,3,28,1.0,0.808974334951285,29.9663565158844,1.063412172453744,0.0023688844272068,0.0021339910370962,0.0001902409962245,2266.5,0.1981681329863412,20.035714285714285,284.8928571428572,329.55078125,-1.0,0.7486943585110496,0.7935747920022654,0.0043391188251001,0.8259969974000293,0.8156368747157744
COMBINED,P0,1.0,2,P0,P0,100,43200,7,Driving-v1,0,4,21,0.9999999999999998,0.8523787384536317,22.357348203659058,1.057936884108044,0.0005892117818196,6.223860241117931e-05,0.0001791545322963,2250.5238095238096,0.170097101302374,19.285714285714285,311.8095238095238,329.55078125,-0.8979969226641439,0.843243803439659,0.0815059549812865,0.0053404539385847,0.6104278225738534,0.1156504793243861
COMBINED,P0,1.0,2,P0,P0,100,43200,7,Driving-v1,0,5,21,1.0,0.8613576007391943,22.343456745147705,1.0545949708847773,0.000310738881429,0.0,0.0001975922357468,2270.190476190476,0.1520746435437883,18.428571428571427,351.85714285714283,329.55078125,-0.9979296066252588,0.7477886329233309,0.0850328319454908,0.0044503782821539,0.3812664360218207,0.217265282863542
COMBINED,P0,1.0,2,P0,P0,100,43200,7,Driving-v1,0,6,25,1.0,0.837617797645763,28.091350078582764,1.116000576019287,0.0018995952606201,0.001641502380371,0.0002018451690673,2309.92,0.1616705131530761,18.52,318.4,330.125,-1.0,0.7189253609414855,0.3256054628230048,0.0048598130841121,0.6734323012285595,0.4866614144746204
COMBINED,P0,1.0,2,P0,P0,100,43200,7,Driving-v1,0,7,21,0.9999999999999998,0.8595894503005326,22.813846349716187,1.0774026484716506,0.0029140426999046,0.0025861376807803,0.0002276670365106,2326.904761904762,0.2383099283490862,18.571428571428573,351.04761904761904,330.125,-1.0,0.8103636080931717,0.0329498071030305,0.0053404539385847,0.3691903941761471,0.3247491403813606
COMBINED,P0,1.0,2,P0,P0,100,43200,7,Driving-v1,0,8,23,1.0,0.8479580107202396,24.992374658584595,1.0774308391239331,0.0030520169631294,0.00277448737103,0.00020374422488,2301.913043478261,0.1525188010671864,19.82608695652174,300.0,330.125,-1.0,0.8072615414559031,0.5873407986767972,0.0020316944331572,0.6351480376594225,0.0591560458707974
COMBINED,P0,1.0,2,P0,P0,100,43200,7,Driving-v1,0,9,24,1.0,0.8361703709493956,26.103415966033936,1.0819373329480488,0.0002757608890533,0.0,0.0002064903577168,2206.9166666666665,0.1560955345630645,19.541666666666668,308.625,329.13671875,-0.9943910256410255,0.7913675835453282,0.1023303060258406,0.0058411214953271,0.5620383765690726,0.1496114691584337
COMBINED,P0,1.0,2,P0,P0,100,43200,7,Driving-v1,0,10,20,1.0,0.8689216418674788,23.463754892349243,1.163092017173767,0.0006110191345214,1.0418891906738282e-05,0.0002215981483459,2320.25,0.20158611536026,18.2,360.15,329.13671875,-0.998,0.7547342527806176,0.1225821271585771,0.0074766355140186,0.3852765785173425,0.1416100210868929
COMBINED,P0,1.0,2,P0,P0,100,43200,7,Driving-v1,0,11,17,1.0,0.8878891338151883,17.856947660446167,1.0389218190137075,0.00043285594267,0.0,0.0001980416914995,2283.470588235294,0.1987427262698902,18.11764705882353,379.6470588235294,329.13671875,-1.0,0.775362258057991,0.0555366193449232,0.005497526113249,0.3241840830352885,0.3007173499418493
COMBINED,P0,1.0,2,P0,P0,100,43200,7,Driving-v1,0,12,29,0.9999999999999998,0.7913355496835552,30.310540437698364,1.0368657523188098,0.001262015309827,0.001007055414134,0.0001861144756448,2253.3793103448274,0.1584073921729778,18.96551724137931,264.48275862068965,329.13671875,-0.9782608695652176,0.8382434986130343,0.5441395088943685,0.0035449564937157,0.7018496331791642,0.2569736185485167
COMBINED,P0,1.0,2,P0,P0,100,43200,7,Driving-v1,0,13,21,1.0,0.8613576007391943,22.23861002922058,1.0519398961748396,0.0005226248786562,8.302643185570127e-05,0.0002047447931198,2238.3809523809523,0.1893062705085391,17.80952380952381,323.85714285714283,329.13671875,-1.0,0.7775079110153936,0.0948892964497485,0.0040053404539385,0.4321655130766591,0.0822948158243234
